city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Bouskoura,11,3,4,4750000,166,https://www.avito.ma/fr/ville_verte/appartements/_Appartement_Bouskoura_Ville_Verte_La_Palmeraie_55573254.htm,2024,1,441,,Ville verte,apartment,1,1,1,1,0,1,0,1,1,0
Martil,11,1,2,550000,65,https://www.avito.ma/fr/martil/appartements/شقق_عصرية_فاخرة_للبيع__55553772.htm,2024,1,65,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,11,2,3,1850000,154,https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1682___Appartement_à_vendre_à_Bourgogne_55775214.htm,2024,1,154,,Bourgogne,apartment,1,1,0,0,0,0,0,0,0,1
Casablanca,11,1,1,780000,,https://www.avito.ma/fr/bourgogne/appartements/Appartement_à_vendre_40_m²_à_Casablanca_54767502.htm,2024,1,40,,Bourgogne,apartment,1,0,0,1,0,1,1,0,1,0
Casablanca,11,1,2,1320000,73,https://www.avito.ma/fr/sidi_belyout/appartements/Superbe_Appartement_2Chs_73m2_Bd_Moulay_Youssef_54938457.htm,2024,1,73,300,Sidi Belyout,apartment,1,1,1,1,1,1,0,1,1,0
Agadir,11,1,3,2400000,,https://www.avito.ma/fr/secteur_touristique/appartements/Appartement_à_vendre_98_m²_à_Agadir_53870526.htm,2024,3,98,,Secteur Touristique,apartment,0,0,0,0,0,0,0,0,0,0
Rabat,11,2,3,1650000,90,https://www.avito.ma/fr/agdal/appartements/Bel_Apparemment_Haut_Agdal__55743684.htm,2024,3,90,50,Agdal,apartment,0,1,1,1,0,1,1,1,1,0
Casablanca,11,1,2,1320000,73,https://www.avito.ma/fr/autre_secteur/appartements/CMN_SI_1643___Appartement_à_vendre_à_Moulay_Youssef_55592156.htm,2024,1,73,,Autre secteur,apartment,1,1,0,0,0,0,0,0,0,1
Urgent,11,1,3,520000,85,https://www.avito.ma/fr/centre_ville/appartements/Appartement_à_vendre_85_m²_à_Tétouan_53687854.htm,2024,2,85,150,Centre ville,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,11,1,2,600000,58,https://www.avito.ma/fr/aïn_chock/appartements/شقة_شوكة_طابق_الاول_55775116.htm,2024,1,58,50,Aïn Chock,apartment,0,0,0,0,0,0,0,0,0,0
Marrakech,11,1,2,650000,68,https://www.avito.ma/fr/autre_secteur/appartements/RAK_GU_1085___Appartement_à_vendre_à_Mabrouka_55109105.htm,2024,3,68,,Autre secteur,apartment,1,1,0,0,0,0,0,0,0,1
Casablanca,11,1,1,595000,,https://www.avito.ma/fr/aïn_borja/appartements/Magnifique_bureau_à_vendre_à_Ibnou_tachfine_55433802.htm,2024,3,43,,Aïn Borja,apartment,1,1,1,1,1,0,0,1,1,0
Bouznika,11,1,3,650000,,https://www.avito.ma/fr/autre_secteur/appartements/Bel_Appartement_Spacieux_à_Bouznika_55435258.htm,2024,2,90,,Autre secteur,apartment,0,0,0,0,0,0,0,0,0,0
Martil,11,2,2,1800000,,https://www.avito.ma/fr/martil/appartements/Appartement_à_vendre_à_Costa_mar_55735561.htm,2024,3,85,,Toute la ville,apartment,1,1,1,1,1,1,1,1,1,1
Casablanca,11,1,1,900000,,https://www.avito.ma/fr/oasis/appartements/Studio_neuf_à_vendre_à_Oasis_55232268.htm,2024,1,39,,Oasis,studio,1,1,1,1,1,1,0,1,1,1
El Jadida,11,1,2,225000,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_économique_a_Ben_Allah_55689473.htm,2024,0,52,100,Autre secteur,apartment,0,0,0,0,0,0,0,0,0,0
Sidi Rahal,11,2,2,900000,81,https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_à_vendre_81_m²_à_Sidi_Rahal_55775138.htm,2024,1,81,400,Toute la ville,apartment,0,1,0,1,0,1,1,1,1,1
Marrakech,11,1,2,1750000,104,https://www.avito.ma/fr/palmeraie/appartements/Appartement_rez_de_jardin_à_la_palmeraie_43307871.htm,2024,0,107,,Palmeraie,apartment,0,0,0,1,0,1,0,0,1,1
Urgent,11,1,2,1050000,74,https://www.avito.ma/fr/asilah/appartements/Appartement_à_vendre_74_m²_à_Asilah_54451286.htm,2024,1,74,250,Toute la ville,apartment,1,0,1,1,1,1,0,1,1,1
Béni Mellal,11,2,3,,126,https://www.avito.ma/fr/béni_mellal/appartements/Appartement_à_vendre_55583799.htm,2024,3,106,,Toute la ville,apartment,0,1,0,0,0,1,0,1,1,0
Tanger,11,1,1,170000,,https://www.avito.ma/fr/centre_ville/appartements/شقة_سكنية_للبيع_ساروت_قرب_حي_الإداري_وسط_المدينة_55753160.htm,2024,4,50,,Centre ville,apartment,0,1,1,0,1,1,1,0,1,0
Temara,11,1,1,690000,71,https://www.avito.ma/fr/skikina/appartements/Des_Appartement_neuf_à_vendre_partir_71_m²_skikina_55705964.htm,2024,1,71,100,Skikina,apartment,1,1,0,0,1,0,0,1,0,1
Rabat,11,1,3,1500000,,https://www.avito.ma/fr/quartier_de_l'océan/appartements/Appartement_à_vendre_104_m²_à_Rabat_55225026.htm,2024,1,104,,Quartier de l'Océan,apartment,0,0,0,0,1,0,0,1,1,0
Marrakech,11,3,3,740000,130,https://www.avito.ma/fr/m'hamid/appartements/شقة___فاخرة_للبيع_بمساحة_130_متر_مربع__55658297.htm,2024,2,130,,M'Hamid,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,11,1,2,510000,50,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_à_vendre_50_m²_à_Casa_Sidi_Maarouf_55529426.htm,2024,3,50,50,Sidi Maarouf,apartment,0,0,0,0,0,0,0,0,0,1
Casablanca,11,2,2,1400000,132,https://www.avito.ma/fr/bourgogne/appartements/Apt_132M²_très_Propre_avec_Terrasse_Mosquée_Badr_55194738.htm,2024,1,132,,Bourgogne,apartment,1,1,0,0,1,0,0,1,1,1
Casablanca,11,2,3,1920000,139,https://www.avito.ma/fr/2_mars/appartements/Appartement_à_vendre_2_Mars_55677264.htm,2024,3,115,300,2 Mars,apartment,1,1,1,1,1,0,0,1,1,1
Kénitra,11,2,2,540000,85,https://www.avito.ma/fr/bir_rami_ouest/appartements/offres_limitée_7000_M2_55643432.htm,2024,2,78,,Bir Rami Ouest,apartment,1,1,0,1,1,1,0,1,1,0
Casablanca,11,1,2,760000,76,https://www.avito.ma/fr/sidi_maarouf/appartements/شقق_للبيع_في_الدار_البيضاء_52633163.htm,2024,5,76,200,Sidi Maarouf,apartment,1,0,0,0,0,0,0,1,1,0
Salé,11,2,3,1000000,104,https://www.avito.ma/fr/hay_chmaou/appartements/شقة_للبيع_بسلا_55672595.htm,2024,2,104,200,Hay Chmaou,apartment,1,1,0,1,1,0,0,1,1,0
Casablanca,11,2,2,700000,74,https://www.avito.ma/fr/nassim/appartements/شقق_للبيع_74_m²_في_الدار_البيضاء_55410529.htm,2024,3,74,200,Nassim,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,11,2,3,1700000,108,https://www.avito.ma/fr/mandarona/appartements/CMN_AC_1554___Appartement_à_vendre_à_Mandarona_55109116.htm,2024,0,108,,Mandarona,apartment,0,0,0,0,0,0,0,0,0,0
Mohammedia,11,1,2,760000,61,https://www.avito.ma/fr/quartier_du_parc/appartements/__urgent__APPART_2ch_au_PARC_ensoleillé__51167988.htm,2024,3,61,,Quartier du Parc,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,11,,3,800000,90,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_sidi_maarouf_hay_Nassim__9azabri_49336405.htm,2024,,,800000,Sidi Maarouf,apartment,1,0,0,0,0,0,0,0,0,0
Bouskoura,11,1,1,550000,59,https://www.avito.ma/fr/bouskoura_centre/appartements/Studio_59m2_dont_11m2_terrasse_perla_49763195.htm,2024,1,45,250,Bouskoura centre,studio,1,1,0,0,1,1,0,0,1,1
Dar Bouazza,11,2,3,,100,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_à_vendre_100_m²_à_Dar_Bouazza_54833290.htm,2024,1,100,,Toute la ville,duplex/triplex,1,1,0,0,1,1,0,1,1,1
Kénitra,11,2,3,1180000,160,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_situé_dans_une_maison_de_ville______55617316.htm,2024,1,160,,Autre secteur,apartment,0,1,0,0,0,1,0,0,0,0
Fnideq,11,2,3,1350000,,https://www.avito.ma/fr/fnideq/appartements/Appartement_à_vendre_à_Alcudia_Smir_55708734.htm,2024,1,113,,Toute la ville,apartment,0,0,1,1,1,1,0,1,1,1
Tiznit,11,1,2,700000,70,https://www.avito.ma/fr/tiznit/appartements/appartement_à_vendre_55501403.htm,2024,2,70,,Toute la ville,apartment,1,0,0,0,0,0,0,0,0,0
Dar Bouazza,11,4,2,2450000,138,https://www.avito.ma/fr/dar_bouazza/appartements/Superbe_Appartement_de_138m²_Face_au_Mercato_55774946.htm,2024,2,138,900,Toute la ville,apartment,1,1,0,1,1,1,0,1,1,1
Kénitra,11,3,3,700000,115,https://www.avito.ma/fr/bir_rami/appartements/Appartement_à_vendre_115_m²_à_Kénitra_55152349.htm,2024,1,115,,Bir Rami,apartment,1,1,0,0,1,1,0,1,1,1
Kénitra,11,5,4,2700000,586,https://www.avito.ma/fr/mimosas/appartements/Appartement_de_587_m2_à_Kenitra_Mimosas_55739653.htm,2024,5,250,449,Mimosas,apartment,1,1,1,1,1,1,0,1,1,1
Casablanca,11,2,2,1555000,132,https://www.avito.ma/fr/racine/appartements/Apt_132M²_Très_Sécurisé_Moderne_Mosquée_Badr_55043928.htm,2024,1,132,,Racine,apartment,1,1,0,0,1,0,0,1,1,1
Ifrane,11,1,1,890000,,https://www.avito.ma/fr/résidence_al_arz/appartements/Appartement_84_m²_à_résidence_al_arz_55762587.htm,2024,1,84,,Résidence al arz,apartment,0,1,0,1,0,1,1,1,1,1
Rabat,11,2,3,2780000,,https://www.avito.ma/fr/hay_riad/appartements/Appartement_à_vendre_à_Hay_Riad_Rabat__55693194.htm,2024,1,140,,Hay Riad,apartment,0,0,0,0,0,0,0,0,0,0
Kénitra,11,1,3,1100000,110,https://www.avito.ma/fr/maamora/appartements/Appartement_F4_à_2_minutes_de_la_gare_de_Kénitra_55307688.htm,2024,5,110,150,Maamora,apartment,1,1,1,1,1,1,0,1,1,1
Martil,11,2,2,540000,60,https://www.avito.ma/fr/martil/appartements/appartement_du_lux_à_martil__54610093.htm,2024,1,60,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,0
Marrakech,11,1,2,960000,,https://www.avito.ma/fr/route_de_casablanca/appartements/Projet_D_Appartements_Sur_Route_De_Casablanca_55325981.htm,2024,2,80,,Route de Casablanca,apartment,1,0,0,0,1,1,0,0,1,1
Agadir,11,1,1,560000,56,https://www.avito.ma/fr/hay_mohammadi/appartements/Studio_56m2_de_standing_à_vendre_à_AGADIR_54272537.htm,2024,0,56,,Hay Mohammadi,studio,1,0,0,0,1,1,0,1,1,0
Casablanca,11,1,2,500000,,https://www.avito.ma/fr/oulfa/appartements/Appartement_à_vendre_54_m²_à_Casablanca_54903537.htm,2024,3,54,,Oulfa,apartment,0,0,0,0,0,0,0,0,1,1
Casablanca,11,2,3,2300000,157,https://www.avito.ma/fr/val_fleuri/appartements/Très_grand_appartement_à_val_Fleury_160_m²_55738793.htm,2024,3,160,,Val Fleuri,apartment,1,1,0,0,0,0,0,1,0,0
Martil,11,1,2,1250000,,https://www.avito.ma/fr/martil/appartements/appartement_a_vendre_a_cabo_negro_55316017.htm,2024,0,70,,Toute la ville,apartment,1,1,0,0,1,1,0,1,1,1
Tanger,11,2,3,11000,111,https://www.avito.ma/fr/beni_touzine/appartements/_Votre_Appartement_de_Rêve___95_m²__55660727.htm,2024,2,95,,Beni Touzine,apartment,1,1,0,0,1,0,1,1,0,1
Casablanca,11,2,3,840000,84,https://www.avito.ma/fr/hay_hassani/appartements/Très_bel_apt_3chambres_Résidence_Sécurisée_Busway_54992417.htm,2024,3,84,,Hay Hassani,apartment,1,1,1,0,1,0,0,1,1,0
Kénitra,11,2,2,590000,92,https://www.avito.ma/fr/taïbia/appartements/Appartement_à_vendre_92_m²_à_Kénitra_55069475.htm,2024,1,92,,Taïbia,apartment,1,1,0,1,1,1,0,1,1,0
Casablanca,11,2,2,752400,82,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_à_vendre_82_m²_à_Casablanca_51209148.htm,2024,1,82,,Sidi Maarouf,apartment,0,0,0,0,0,0,0,0,0,0
Rabat,11,2,3,1200000,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre_90_m²_à_El_Menzeh_55574712.htm,2024,3,90,,Autre secteur,apartment,0,0,0,0,0,0,0,0,0,0
Agadir,11,1,2,560000,68,https://www.avito.ma/fr/tilila/appartements/appartement_à_vendre__55658989.htm,2024,3,68,,Tilila,apartment,0,1,0,0,0,1,0,0,0,0
