url,n_bedrooms,n_bathrooms,total_area,living_area,floor,price,monthly_syndicate_price,city,neighborhood,type,year,month,source,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
https://www.avito.ma/fr/sidi_maarouf/appartements/شقق_للبيع_في_الدار_البيضاء_52633163.htm,2,1,76,76,5,760000,200,Casablanca,Sidi Maarouf,apartment,2024,11,avito,1,0,0,0,0,0,0,1,1,0
https://www.avito.ma/fr/hay_chmaou/appartements/شقة_للبيع_بسلا_55672595.htm,3,2,104,104,2,1000000,200,Salé,Hay Chmaou,apartment,2024,11,avito,1,1,0,1,1,0,0,1,1,0
https://www.avito.ma/fr/nassim/appartements/شقق_للبيع_74_m²_في_الدار_البيضاء_55410529.htm,2,2,74,74,3,700000,200,Casablanca,Nassim,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/mandarona/appartements/CMN_AC_1554___Appartement_à_vendre_à_Mandarona_55109116.htm,3,2,108,108,0,1700000,,Casablanca,Mandarona,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/quartier_du_parc/appartements/__urgent__APPART_2ch_au_PARC_ensoleillé__51167988.htm,2,1,61,61,3,760000,,Mohammedia,Quartier du Parc,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_sidi_maarouf_hay_Nassim__9azabri_49336405.htm,3,,90,,,800000,800000,Casablanca,Sidi Maarouf,apartment,2024,11,avito,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/bouskoura_centre/appartements/Studio_59m2_dont_11m2_terrasse_perla_49763195.htm,1,1,59,45,1,550000,250,Bouskoura,Bouskoura centre,studio,2024,11,avito,1,1,0,0,1,1,0,0,1,1
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_à_vendre_100_m²_à_Dar_Bouazza_54833290.htm,3,2,100,100,1,,,Dar Bouazza,Toute la ville,duplex/triplex,2024,11,avito,1,1,0,0,1,1,0,1,1,1
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_situé_dans_une_maison_de_ville______55617316.htm,3,2,160,160,1,1180000,,Kénitra,Autre secteur,apartment,2024,11,avito,0,1,0,0,0,1,0,0,0,0
https://www.avito.ma/fr/fnideq/appartements/Appartement_à_vendre_à_Alcudia_Smir_55708734.htm,3,2,,113,1,1350000,,Fnideq,Toute la ville,apartment,2024,11,avito,0,0,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/tiznit/appartements/appartement_à_vendre_55501403.htm,2,1,70,70,2,700000,,Tiznit,Toute la ville,apartment,2024,11,avito,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/dar_bouazza/appartements/Superbe_Appartement_de_138m²_Face_au_Mercato_55774946.htm,2,4,138,138,2,2450000,900,Dar Bouazza,Toute la ville,apartment,2024,11,avito,1,1,0,1,1,1,0,1,1,1
https://www.avito.ma/fr/bir_rami/appartements/Appartement_à_vendre_115_m²_à_Kénitra_55152349.htm,3,3,115,115,1,700000,,Kénitra,Bir Rami,apartment,2024,11,avito,1,1,0,0,1,1,0,1,1,1
https://www.avito.ma/fr/mimosas/appartements/Appartement_de_587_m2_à_Kenitra_Mimosas_55739653.htm,4,5,586,250,5,2700000,449,Kénitra,Mimosas,apartment,2024,11,avito,1,1,1,1,1,1,0,1,1,1
