city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Casablanca,10,2,2,280000,,https://www.avito.ma/fr/errahma/appartements/Appartement_à_vendre_53_m²_à_errahma_sans_meubles_55505449.htm,2024,3,53,,Errahma,apartment,0,0,0,0,0,0,0,0,1,0
Casablanca,10,2,1,913000,51,https://www.avito.ma/fr/quartier_des_hôpitaux/appartements/Studio_neuf_51_m²_au_Boulevard_Anoual__54987518.htm,2024,2,51,,Quartier des Hôpitaux,studio,1,0,0,1,1,1,0,1,1,1
Meknès,10,2,3,1050000,126,https://www.avito.ma/fr/ville_nouvelle/appartements/Appartement_à_vendre_126_m²_à_Meknès_55619549.htm,2024,3,126,250,Ville Nouvelle,apartment,1,1,0,1,1,1,1,1,1,1
Casablanca,10,2,3,,,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_à_vendre_75m_a_120m_à_Aïn_Sebaâ__Casa__55645263.htm,2024,1,75,,Ain Sebaa,apartment,1,1,0,0,0,1,0,1,0,1
Casablanca,10,2,2,,104,https://www.avito.ma/fr/californie/appartements/appartement__55645267.htm,2024,4,84,,Californie,apartment,1,0,0,0,0,1,0,1,0,0
Casablanca,10,2,3,1069500,105,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_neuf_105_m²_à_Ain_sebaa_55113064.htm,2024,2,105,,Ain Sebaa,apartment,1,1,0,1,1,1,0,1,1,0
Fès,10,3,3,,209,https://www.avito.ma/fr/agdal/appartements/Appartement_à_vendre_200_m²_à_Fès_54852138.htm,2024,2,200,,Agdal,apartment,1,0,0,0,0,0,0,0,0,0
Casablanca,10,3,3,3000000,175,https://www.avito.ma/fr/gauthier/appartements/35179_Vente_Appt_à_Casablanca_Gauthier_de_175_m²_54688145.htm,2024,6,157,3600,Gauthier,apartment,1,1,1,1,0,1,0,1,0,1
Casablanca,10,2,2,1190000,106,https://www.avito.ma/fr/belvédère/appartements/appartement_106_m_6_em_étage_sans_vis_à_vis__55569470.htm,2024,6,106,300,Belvédère,apartment,1,1,0,0,0,1,0,1,1,0
Bouznika,10,2,5,,103,https://www.avito.ma/fr/al_kawtar/appartements/des_appartement_avendre_bouznika_53353493.htm,2024,1,103,100,Al Kawtar,apartment,0,1,1,1,0,1,0,1,0,1
Casablanca,10,3,2,6000000,142,https://www.avito.ma/fr/aïn_diab/appartements/Appartement_à_vendre_142_m²_à_Casablanca_50507466.htm,2024,8,142,1,Aïn Diab,apartment,1,1,1,1,1,1,1,1,1,1
Rabat,10,3,3,,,https://www.avito.ma/fr/hay_riad/appartements/appartement_en_Vente_à_Prestigia__54042679.htm,2024,5,175,,Hay Riad,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,10,1,1,756000,36,https://www.avito.ma/fr/maarif/appartements/Studio_Haut_Standing_à_Maarif__55323714.htm,2024,2,36,300,Maarif,studio,0,0,0,0,0,0,0,0,0,0
Marrakech,10,2,2,720000,80,https://www.avito.ma/fr/guéliz/appartements/Appartement_80_m²_avec_piscine_à_gueliz_49187447.htm,2024,4,80,300,Guéliz,apartment,1,0,0,0,1,0,0,1,1,0
Casablanca,10,2,3,520000,100,https://www.avito.ma/fr/sidi_othmane/appartements/Appartement_neuf_3chambres_ascenseur__55520112.htm,2024,3,100,80,Sidi Othmane,apartment,1,1,1,0,0,1,0,1,0,0
Marrakech,10,2,2,,800,https://www.avito.ma/fr/massira_1/appartements/فيلا_للكراء_طريق_اوريكا_احجز_يومين_الثالث_بالمحان_55645266.htm,2024,1,120,,Massira 1,apartment,0,0,1,1,0,1,0,1,0,1
Casablanca,10,1,3,600000,93,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_93_m²_à_azhar__55447524.htm,2024,3,93,50,Sidi Bernoussi,apartment,0,0,0,0,0,0,0,1,0,1
Casablanca,10,1,1,760000,38,https://www.avito.ma/fr/maarif/appartements/Studio_Haut_Standing_En_Plein_Casablanca_53177770.htm,2024,2,38,250,Maarif,studio,1,1,1,1,0,1,0,1,1,0
Marrakech,10,1,1,1100000,55,https://www.avito.ma/fr/guéliz/appartements/Appartement_à_vendre_55_m²_à_Marrakech_55623457.htm,2024,3,55,300,Guéliz,apartment,1,1,1,1,1,0,0,1,1,1
Casablanca,10,1,2,1750000,126,https://www.avito.ma/fr/quartier_des_hôpitaux/appartements/1095_Vente_Appt_à_Casablanca_Hopitaux_de_126_m²_54687571.htm,2024,5,101,,Quartier des Hôpitaux,apartment,1,1,1,0,0,0,0,1,1,0
Marrakech,10,1,1,700000,46,https://www.avito.ma/fr/bab_doukkala/appartements/Magasin_46_m2_a_bab_doukalla__39208369.htm,2024,1,46,,Bab Doukkala,apartment,0,0,0,0,0,0,0,0,0,0
Cabo Negro,10,1,2,,62,https://www.avito.ma/fr/cabo_negro/appartements/Appartement_à_vendre_60_m²_à_Cabo_Negro_55524237.htm,2024,2,60,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,10,1,3,1751000,144,https://www.avito.ma/fr/bourgogne/appartements/52931_Vente_Appt_à_Casablanca_Bourgogne__Anfa__de__55279450.htm,2024,1,140,3000,Bourgogne,apartment,1,0,1,0,0,1,0,1,0,0
Casablanca,10,3,3,2100000,136,https://www.avito.ma/fr/bourgogne/appartements/Appartement_moderne_110m²_résd__fermée_surCorniche_55216866.htm,2024,2,110,300,Bourgogne,apartment,1,1,1,1,1,1,0,1,1,1
Casablanca,10,3,3,2300000,130,https://www.avito.ma/fr/racine/appartements/CMN_AN_1124___Appartement_à_vendre_à_Racine_54561850.htm,2024,4,130,,Racine,apartment,1,1,0,0,0,0,0,1,0,1
Kénitra,10,2,2,525000,64,https://www.avito.ma/fr/maamora/appartements/Appartement_54_m²_à_Kénitra_55360531.htm,2024,8,54,,Maamora,apartment,1,1,0,1,1,1,0,1,1,0
Temara,10,2,3,1550000,120,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_a_Vendre_à_Temara__55568394.htm,2024,0,120,200,Riad Oulad Mtaa,apartment,0,0,0,1,0,1,0,1,1,0
Marrakech,10,1,2,440000,62,https://www.avito.ma/fr/m'hamid/appartements/شقة_فاخرة_62_م²_للبيع_بمراكش_شاملة_شروط_الدعم_55602441.htm,2024,1,62,,M'Hamid,apartment,0,0,0,0,0,0,0,0,0,0
Temara,10,2,2,760000,83,https://www.avito.ma/fr/wifak/appartements/Appartement_à_vendre_84_m²_à_Temara_55331622.htm,2024,0,84,100,Wifak,apartment,0,0,0,0,1,0,0,1,1,1
Zenata,10,1,1,580000,54,https://www.avito.ma/fr/zenata/appartements/Appartement_à_vendre_54_m²_à_Zenata_55640581.htm,2024,0,39,,Toute la ville,apartment,1,1,1,1,1,1,0,1,1,1
Casablanca,10,7,10,1340000,61,https://www.avito.ma/fr/ben_m'sick/appartements/maison_à_vendre__55645186.htm,2024,3,61,,Ben M'sick,apartment,0,0,0,0,0,0,0,0,0,0
