city,neighborhood,price,type,url,year,month,n_bedrooms,n_bathrooms,living_area,total_area,floor,syndicate_price_per_month,bool_security,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equiped_kitchen,bool_furniture,bool_parking,bool_terrace
Casablanca,Bourgogne (anfa),2400000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-bourgogne-(anfa)-CA005097,2024,11,3,2,116,134,0,300.0,1,1,0,0,0,1,0,0,1,1
Casablanca,Gauthier,2700000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-gauthier-CA005197,2024,11,3,2,170,170,3,,1,1,0,1,1,1,1,0,1,0
Casablanca,Inara,840000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-inara-CA005099,2024,11,2,1,84,84,4,,1,0,1,0,0,0,1,0,1,0
Casablanca,Derb omar,1600000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA006067,2024,11,3,2,115,128,2,,0,1,1,0,0,1,1,0,1,0
Casablanca,Derb omar,1575000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA006006,2024,11,3,2,114,126,2,,0,1,1,0,0,0,1,0,1,0
Témara,Centre temara,1170000,apartment,https://yakeey.com/fr-ma/acheter-appartement-temara-centre-temara-TA005356,2024,11,3,2,97,97,4,,0,1,1,0,0,0,1,0,1,0
Casablanca,Mandarouna,1450000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-mandarouna-CA006417,2024,11,3,2,113,115,3,,1,1,1,0,0,0,1,0,1,1
Casablanca,Derb omar,1897500,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA005986,2024,11,3,2,113,165,1,,0,1,1,0,0,0,1,0,1,1
Casablanca,Maarif extension,1800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-extension-CA006375,2024,11,2,1,80,101,4,480.0,1,1,1,0,0,1,0,0,1,1
Casablanca,Val fleury,1537000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-val-fleury-CA003627,2024,11,4,2,110,123,0,,1,1,0,0,0,0,0,0,0,1
Casablanca,Maarif,2820000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-CA005528,2024,11,3,2,145,175,3,1000.0,1,1,1,0,1,0,1,0,1,0
Casablanca,Derb omar,1476000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA006070,2024,11,2,2,111,123,4,,0,1,1,0,0,1,1,0,1,1
Casablanca,Al azhar,1200000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-al-azhar-CA005934,2024,11,4,2,99,99,2,,1,1,1,0,0,0,1,0,1,0
Casablanca,Derb omar,1464000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA006068,2024,11,2,2,73,122,4,,0,1,1,0,0,1,0,0,1,0
Casablanca,Derb omar,1100000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA006073,2024,11,2,1,73,85,5,,0,1,1,0,0,1,0,0,1,0
Casablanca,Derb omar,1586000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA006075,2024,11,3,2,115,130,3,,0,1,1,0,0,1,1,0,1,0
Marrakech,Lotissement cherifia ,760000,apartment,https://yakeey.com/fr-ma/acheter-appartement-marrakech-lotissement-cherifia-MI068595,2024,11,2,2,75,75,1,,1,1,1,0,0,0,1,0,0,1
Casablanca,Val fleury,1600000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-val-fleury-CA006935,2024,11,2,2,110,166,1,,1,1,0,0,0,0,0,0,1,1
Casablanca,Maarif,1530000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-CA006880,2024,11,2,1,81,90,1,400.0,0,1,0,0,1,0,0,0,1,0
