url,n_bedrooms,n_bathrooms,total_area,living_area,floor,price,monthly_syndicate_price,city,neighborhood,type,year,month,source,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
https://www.avito.ma/fr/maarif/appartements/66644_Vente_Appt_à_Casablanca_Val_Fleury_de_277_m²_55719974.htm,4,2,277,215,1,3200000,4800,Casablanca,Maarif,apartment,2024,11,avito,1,0,1,1,0,1,0,1,0,1
https://www.avito.ma/fr/agdal/appartements/Appartement_à_Rabat_Agdal_52876137.htm,3,2,200,200,4,3100000,,Rabat,Agdal,apartment,2024,11,avito,1,1,0,0,1,0,0,1,1,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_Élégant_108m²___55835291.htm,2,2,108,108,1,590000,,Kénitra,Autre secteur,apartment,2024,11,avito,0,0,0,0,1,1,0,0,1,1
https://www.avito.ma/fr/centre_ville/appartements/63860_Vente_Appt_à_Casablanca_Quartier_Bd_Med_V_de_55626598.htm,1,1,56,56,3,900000,,Casablanca,Centre Ville,apartment,2024,11,avito,1,0,1,1,0,1,1,1,1,1
https://www.avito.ma/fr/gauthier/appartements/GAUTHIER_JOLI_STUDIO_A_VENDRE_55_m²_55695937.htm,1,1,60,55,2,1100000,400,Casablanca,Gauthier,studio,2024,11,avito,1,0,1,1,1,1,0,1,0,0
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_à_vendre_81_m²_à_Dar_Bouazza_55714260.htm,2,2,,81,1,1350000,,Dar Bouazza,Toute la ville,duplex/triplex,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/palmier/appartements/CMN_MA_1752___Appartement_à_vendre_à_Palmier_55650664.htm,2,2,168,168,5,2000000,,Casablanca,Palmier,apartment,2024,11,avito,1,1,0,0,0,0,0,1,0,1
https://www.avito.ma/fr/cité_adrar/appartements/appartement_a_vendre__55835328.htm,2,2,72,72,5,690000,1800,Agadir,Cité Adrar,apartment,2024,11,avito,1,0,0,1,1,1,1,1,1,0
https://www.avito.ma/fr/gauthier/appartements/GAUTHIER_JOLI_STUDIO_A_VENDRE__55355264.htm,1,1,61,54,5,1200000,,Casablanca,Gauthier,studio,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/fonciere/appartements/48719_Vente_Appt_à_Casablanca_Fonciere_de_70_m²_55229592.htm,1,1,70,54,2,850000,4320,Casablanca,Fonciere,apartment,2024,11,avito,1,0,1,0,0,1,1,1,1,0
https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement_Confortable_82_m²_à_Bouskoura_55756046.htm,2,2,82,82,3,815000,,Bouskoura,Bouskoura centre,apartment,2024,11,avito,1,1,0,0,1,1,0,1,1,1
https://www.avito.ma/fr/val_fleuri/appartements/VAL_FLEURI_BEL_APPARTEMENT_A_VENDRE_160_m²_54834414.htm,3,2,160,160,2,2480000,,Casablanca,Val Fleuri,apartment,2024,11,avito,1,0,0,0,1,1,0,1,0,0
https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1650___Appartement_à_vendre_à_Bourgogne_55518303.htm,2,2,83,83,0,1050000,,Casablanca,Bourgogne,apartment,2024,11,avito,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/maârif_extension/appartements/64631_Vente_Appt_à_Casablanca_Maarif_Extension_de__55662183.htm,3,2,292,200,1,4600000,9600,Casablanca,Maârif Extension,apartment,2024,11,avito,1,1,1,0,0,1,0,1,0,1
https://www.avito.ma/fr/tabriquet/appartements/Appartement_super_ensoleillé_à_vendre__55311541.htm,2,2,,95,4,1090000,,Salé,Tabriquet,apartment,2024,11,avito,1,1,0,1,1,1,0,1,1,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_Neuf_et_Lumineux_de_61m²_à_Gzenaya_55559181.htm,3,,,61,2,490000,,Tanger,Autre secteur,apartment,2024,11,avito,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_en_vente_82_m²_à_Ain_sebaa_Casablanca_55779828.htm,2,2,125,82,1,1167000,,Casablanca,Ain Sebaa,apartment,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/tamesna/appartements/Appartement_à_vendre_88_m²_à_Tamesna_55422959.htm,3,2,83,88,1,675000,,Tamesna,Toute la ville,apartment,2024,11,avito,1,1,0,0,0,1,0,1,1,0
